Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
AD822ARMZ-REEL	Analog Devices Inc.	DK	AD822ARMZ-REELCT-ND	IC OPAMP GP 1.9MHZ RRO 8MSOP	8-MSOP
LM5113SD/NOPB	Texas Instruments	DK	LM5113SD/NOPBDKR-ND	IC GATE DVR HALF BRIDGE 4A 10SON	10-WSON
EPC2012C	EPC	DK	917-1084-6-ND	TRANS GAN 200V 5A BUMPED DIE	Die
EPC2007C	EPC	DK	917-1081-6-ND	TRANS GAN 100V 6A BUMPED DIE	Die
EPC8004	EPC	DK	917-1072-6-ND	TRANS GAN 40V 2.7A BUMPED DIE	Die
EPC2015C	EPC	DK	917-1083-6-ND	TRANS GAN 40V 33A BUMPED DIE	Die
SN74LVC1G08DCKR	Texas Instruments	DK	296-11602-6-ND	IC GATE AND 1CH 2-INP SC-70-5	SC-70-5
SN74LVC1G17DCKR	Texas Instruments	DK	296-11934-6-ND	IC BUFFER SCHMIT TRIG SC705	SC-70-5
SN74LVC1G32DCKR	Texas Instruments	DK	296-9848-6-ND	IC GATE OR 1CH 2-INP SC-70-5	SC-70-5
SN74LVC1G14DCKR	Texas Instruments	DK	296-11608-6-ND	IC SGL SCHMT-TRIG INVERT SC70-5	SC-70-5
SN74LV02APWR	Texas Instruments	DK	296-14902-6-ND	NOR Gate	14-TSSOP
NC7SZ08M5X	Texas Instruments	DK	NC7SZ08M5XDKR-ND	AND Gate	SOT-23-5
SMSA3923-011LF	Skyworks Solutions Inc	DK	863-1700-6-ND	DIODE SCHOTTKY	SOD-323
TLV3502AIDCNR	Texas Instruments	DK	296-39267-6-ND	IC COMPARATOR R-R HI-SPD SOT23-8	SOT-23-8
MAX991EKA+T	Texas Instruments	DK	MAX991EKA+TDKR-ND	IC COMPARATOR R-R SOT23-8	SOT-23-8
AD8606ARMZ-R7	Analog Devices Inc.	DK	AD8606ARMZ-R7DKR-ND	IC OPAMP GP 10MHZ RRO 8MSOP	8-MSOP
AD8605ARTZ-REEL	Analog Devices Inc.	DK	AD8605ARTZ-REELDKR-ND	IC OPAMP GP R-R CMOS LN SOT23-5	SOT-23-5
ADG5409BCPZ-REEL7	Analog Devices Inc.	DK	ADG5409BCPZ-REEL7DKR-ND	IC MULTIPLEXER 2 X 4:1 16LFCSP	16-LFCSP-WQ
ADG1209YCPZ-REEL7	Analog Devices Inc.	DK	ADG1209YCPZ-REEL7DKR-ND	IC MULTIPLEXER DUAL 4X1 16LFCSP	16-LFCSP-VQ (4x4)
ALD1103SBL	Advanced Linear Devices Inc.	DK	1014-1009-ND	MOSFET 2N/2P-CH 10.6V 14SOIC	14-SOIC
ADG719BRTZ-REEL7	Analog Devices Inc.	DK	ADG719BRTZ-REEL7DKR-ND	IC SWITCH SPDT SOT23-6	SOT-23-6
ADL5511ACPZ-R7	Analog Devices Inc.	DK	ADL5511ACPZ-R7DKR-ND	IC RF RMS DETECTOR 16LFCSP	16-WFQFN Exposed Pad, CSP
AD8309ARUZ	Analog Devices Inc.	DK	AD8309ARUZ-REEL7DKR-ND	IC LOGARITHM AMP 100DB 16-TSSOP	16-TSSOP
IRLML6401TRPBF	Infineon Technologies Americas Corp.	DK	IRLML6401PBFDKR-ND	MOSFET P-CH 12V 4.3A SOT-23	TO-236-3, SC-59, SOT-23-3
